Id,Label
1409772272022294557,gut_mowning
1170303848067452931,fifiantita
1504390595456151556,rickdler
57267877,menurgumilar
1956089569,isnansayyidinaa
409860928,gilangadirrrrr
1061502690537000962,tkunbelajar
1500718641742229504,tren_app
1335853964,Halal2024bulan4
582599014,mantik6
744353839201947648,abiid02
1512368783918510082,fourthencore
1487731858037035010,Andreansyah_088
88084340,Ramabcde
1549502609932689409,SJunandar
442769138,EddyWilliamTwit
908331847779618818,SnapsserGo
193204902,fluffybeears
226411315,xsan_24
1579801319061061632,cil_logs
1379546070783430661,DM_N4BYL
1600907922,Armandhonari
96412634,shopeepaytolate
835032314505658368,rikkisihaloho
1464533000268525574,YYouonly
1579801319061061632,cil_logs
1108898625365540864,fauzankrisnaaa
1188692236172578816,jembermfs
254862824,gufranars
1314840619378896896,karirfess
1284061445148209154,convomfs
1219040248111304708,arrunics
2310553717,Marcellovibes
1558979258835341312,pahlevi0884
1487731858037035010,Andreansyah_088
1554455202136485888,hoholucu
1554455202136485888,hoholucu
1554455202136485888,hoholucu
1219179928882573312,UntukBangsaku1
1219179928882573312,UntukBangsaku1
1219179928882573312,UntukBangsaku1
2290397480,umayamiaa
18129942,tempodotco
58880688,pikiran_rakyat
1553196274685706241,itsawlhere
1578007850818805760,wisataawesome
3126404885,bananaoatmealsz
1578005797644120065,pegiiatumkm
1354005353080315905,indomieenaks
4755284968,idx_channel
1542416484,bataldemihukum
552523769,KATADATAcoid
994619550,cantikbgtamin
1379809853070139401,imnrd34
100760392,celoookbaaaa
1550740197016342528,RuriSopyan
49984744,resmihaberler
1549524674668769280,HardbookC
866521925434064896,salmonr0e
1549787358371139585,merryround3
3791370252,pajakbekasibrt
1172077488014409728,arrnarco
285971240,chandrasetiaji_
150589950,PRFMnews
18129942,tempodotco
1089062079875543041,SelsianaM_
940469227500199936,StoreIDFashion
732496239296552961,Ujang_Emul
847372542830444544,cnbcindonesia
1332469743920418816,MastahSholeh
55507370,tvOneNews
1549514697711374336,PutraAlamsyahJ1
1568340289550688258,rahmadhdyt709
784221703085752320,PajakTanahAbng3
254499016,ivanjar
18129942,tempodotco
1347445097898467329,WartaJayacom
740491302,muhmiftah_
1515821332382257153,itsppeacyvn
1430139819187863562,Ryankresna3
47274731,okezonenews
136476619,kangandribdg
984297144,excell_14
1255031929222520832,epicureanie
1564955889446326273,AzmiMhmmd_
68806000,twoftiar
1325448613305085960,al_lasan
1564943365623672832,RianRizkia2
89326335,efenerr
422290538,onpalado1
2748535542,ryolandafit
55214781,thelatama
1034364744327618561,hobittaro
1165944541,entersandmad
2169697500,golaliid
1100358904418979841,kedelaiheetam
1554764541023879168,AlfaneRizky
1517799063160500224,AksaraLangit__
88581196,prastow
2256528498,luluardh
1551451496624971776,portflowio
135795460,detikfinance
1578424244064903169,BrvoErickThohir
289741123,backjoyski
124148423,HeartHeaterr
1248726242,masaryaduta
89361770,juniakhyar
214818815,nu_online
1065963987412480000,ridwanyangitu
1244597361826885636,worksfess
802206422,BachtiarNU
63454861,donisaurrus
1140530288499367936,yourfavoritgrl
391191681,herisetiyawans
1263342706622947328,iamirfan_rizki
1275834116445896704,JembzCoeey
1196807864,halbraz
478237835,Mangapcom
111562464,KangmasParkir
23786106,kompasiana
23786106,kompasiana
816985758,salmenmenjiro
1681136840,ranupm14
1414580924478488580,araaaaalv
23786106,kompasiana
2343589130,hellofadh
713562482,cecengmuslih
1499194086271889408,merdekabrdaulat
1136872958,bie_menk
1237012707481550848,Lima8Satu
1237012707481550848,Lima8Satu
1487731858037035010,Andreansyah_088
255866913,hariankompas
180696019,SonoraFM92
855719868804382720,Suparman7273178
1539056318451167232,brightyuu_
1341772746259222528,mapaybandungcom
71703932,pencitwaan
1558282447087083520,_Ryuuma
106591344,dimzaladim
1260531598383972352,winsandiii
432398107,megandikka
23786106,kompasiana
1372794477861949443,KardoSony
1325448613305085960,al_lasan
65603889,MARV3LLL
61779973,yarachantique
1266023464663568396,MusaRudy_Stpl
1351138416088510467,B3doel___
23786106,kompasiana
4184979312,AntoniusCDN
1310491734086877184,riyadisugeng167
1310491734086877184,riyadisugeng167
2169697500,golaliid
66247047,endiesastro
1287690023668551680,ArtOfpol
579717977,profbaper
1249352392954368001,denni_sauya
1275834116445896704,JembzCoeey
181879664,SuperMumun
1275834116445896704,JembzCoeey
111869546,Eka_Dutajaladri
1276193170460532736,ABON08195286
1195330043355860994,reusites
64622098,mbahndi
435004096,Aryprasetyo85
3172424528,ditramadhan
96562211,salmnalfrs
976057708993396736,milidakota
435004096,Aryprasetyo85
1183320978505392129,fraudhi
849562015882465280,FirzaHusainID
1139093698698891264,NugrosSmith
278984202,Rivalnv
1435481198218805249,JemberNetwork
1204013052468875265,collegemfs
535307322,suindraw
1266023464663568396,MusaRudy_Stpl
1059059503667195905,pinchipowww
492794380,Arvytasriswo
1466414123156049922,pejuang_sinamot
1562711421695447041,rara_mardh
1466414123156049922,pejuang_sinamot
1174287141909590017,seruanhl
154481385,terasbandungcom
1478994904533458945,SyntaZulnun
1207638551157858304,p3juangNKRI
1478994904533458945,SyntaZulnun
1575808541092642816,sometobeone
852097298,risalatulumami
464743933,_giamahery
511600574,GalihArdiyana
588006650,suisseo_
820931784942596096,ferlitaaprillia
1575404437161402370,LinggaJati0
1279643013455605760,Cintada16
1249352392954368001,denni_sauya
1289009242268024832,callmetoday94
347697051,deszy_rianti
1223653536291938304,willona_007
1395975607347863552,dcristnugroho
1614761312,hauntedmin_
1219226615676203009,katikcakil
183894876,kurniawandjody
1312439089224798215,ilusikmu
1325025951189594112,Sunyibiar
1370994384167079943,tatakamu_
1249352392954368001,denni_sauya
1324943881541050368,Pipikmu0
1371158881158586370,cepekce
1327541583747530754,Embuuhlah
1409075117850710016,Dwirusmantinin1
1371195480999219204,hempask4n
1325448613305085960,al_lasan
1320731602754834432,Ekazef__
1325050253066694658,Kmucici5
198124767,putirosalina
1325036539835899904,Silakmu
1249352392954368001,denni_sauya
1371004020676907008,winkiwinki_
1371170537704058886,intanint
103279574,Cadelyori
1175404272541810689,lilachswoo
1172443351607472129,heryawan_g
4200088157,CryptoKuta
1371652293490176001,dariP_17
1197225394866282496,Askrlfess
41730943,VIVAcoid
1310491734086877184,riyadisugeng167
535148273,ayomsax
1324954234979143680,muhamfikri27
1353918148739698688,Cahaya_CintaNda
1014665309435899904,Athaya_Abida
1567008599674884096,RNugra2
1306305445359886336,Dennis_sll1
215606844,levdammers
1379546070783430661,DM_N4BYL
713657455,TerlaluTulus
215606844,levdammers
817387784,nuraisyahh96
529389901,daniketepas
1310491734086877184,riyadisugeng167
1249352392954368001,denni_sauya
1471047830248689666,Seputar_Et
1557648186319048704,NewsJournalist3
1354670215297044481,gajelsbgtdah
151326877,emtrade_id
903229236051247104,eradotid
23786106,kompasiana
23786106,kompasiana
737739954,irfunn_
370457976,Play99ers
1452926642263785473,Karmila155
1183230606634696705,siketan12
1174287141909590017,seruanhl
1461155719789432834,menda_endy
1049488491178995712,parwatyRizky
